"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-04-24","83.4","-1.3475","5.5076","Wrigley Field",595879,621111,"home_run","hit_into_play_score",,,,,2,"Javier Baez homers (8) on a fly ball to left field.   Daniel Descalso scores.    Anthony Rizzo scores.  ","R","R","R","CHC","LAD","X","null","fly_ball",0,2,2019,"1.4429","-0.4830","-0.2698","3.2729","null",518614,519203,2,6,"Bot","41.76","66.90",,,605131,,"190425_020305","-0.2177","-121.3226","2.1126","13.7383","22.4482","-37.4144","3.2763","1.5687","369","98.5","35","81.7840","3202","5.0930",565134,621111,605131,501896,571771,457759,608369,657077,572041,641355,"55.4061","0.271","0.519","2.00",1,0,3,5,48,"3","Slider",0,3,0,3,3,0,0,3,"Standard","Standard"
"FF","2019-04-24","92.7","2.6482","6.1323","Wrigley Field",641355,430935,"home_run","hit_into_play_score",,,,,5,"Cody Bellinger homers (12) on a fly ball to left center field.   A.J. Pollock scores.  ","R","L","L","CHC","LAD","X","null","fly_ball",0,1,2019,"0.7955","1.2473","0.0652","2.6027","null","null",572041,1,6,"Top","70.23","56.77",,,575929,,"190425_014322","-8.2544","-134.7080","-5.8805","11.3063","27.9221","-16.1323","3.8641","1.9674","361","101.8","36","92.2470","2076","5.9910",565134,430935,575929,519203,518614,592178,595879,656941,546991,518792,"54.5082","0.453","0.861","2.00",1,0,3,6,41,"2","4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"FF","2019-04-23","94.6","2.3694","5.6936","Wrigley Field",595879,657571,"home_run","hit_into_play_score",,,,,5,"Javier Baez homers (7) on a fly ball to right field.  ","R","R","L","CHC","LAD","X","null","fly_ball",2,0,2019,"0.8130","1.3892","-0.1334","2.4552","null","null","null",1,7,"Bot","223.32","71.49",,,605131,,"190424_022320","-8.1974","-137.4035","-5.7702","11.7745","26.7640","-13.8729","3.3556","1.5474","377","104.1","24","93.9900","2168","5.7640",565133,657571,605131,501896,571970,457759,608369,571771,572041,641355,"54.7353","0.874","1.591","2.00",1,0,3,6,58,"3","4-Seam Fastball",6,2,6,2,2,6,6,2,"Standard","Standard"
"FF","2019-04-23","89.9","-1.8152","5.8253","Wrigley Field",519203,628317,"home_run","hit_into_play_score",,,,,1,"Anthony Rizzo homers (4) on a fly ball to left center field.   Ben Zobrist scores.  ","R","L","R","CHC","LAD","X","null","fly_ball",0,0,2019,"-0.6439","1.4095","-0.4791","3.0088","null","null",450314,1,2,"Bot","45.25","58.42",,,605131,,"190424_005330","4.6250","-130.8377","-3.9741","-8.2320","25.1414","-15.5491","3.5295","1.6278","382","104.1","24","89.7100","2235","5.9650",565133,628317,605131,501896,571771,457759,608369,621035,572041,641355,"54.5346","0.874","1.591","2.00",1,0,3,6,19,"1","4-Seam Fastball",4,0,4,0,0,4,4,0,"Infield shift","Standard"
"SL","2019-04-21","85.0","-1.5161","5.8722","Wrigley Field",502481,467008,"home_run","hit_into_play_score",,,,,5,"Jarrod Dyson homers (3) on a line drive to right center field.  ","R","L","R","CHC","ARI","X","null","line_drive",1,1,2019,"0.3501","-0.1514","0.1808","2.5740","null","null","null",1,9,"Top","212.19","54.97",,,575929,,"190421_203822","3.2780","-123.8389","-1.1727","3.0067","22.6622","-33.7222","3.3800","1.5900","395","101.3","24","85.2690","2384","6.2100",565132,467008,575929,519203,450314,623520,595879,592178,546991,518792,"54.2900","0.650","1.076","2.00",1,0,3,6,59,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2019-04-20","94.7","-1.4141","6.1182","Wrigley Field",571974,543903,"home_run","hit_into_play_score",,,,,5,"John Ryan Murphy homers (3) on a line drive to right field.    Nick Ahmed scores.  ","R","R","R","CHC","ARI","X","null","line_drive",2,2,2019,"-0.1203","0.8058","0.1703","2.3596","null","null",605113,1,6,"Top","213.18","65.84",,,575929,,"190420_201907","4.3871","-137.8245","-5.9775","-2.3722","26.2591","-20.9396","3.1800","1.4600","381","101.5","23","94.9560","2353","6.1120",565131,543903,575929,519203,518614,592178,595879,656941,518792,450314,"54.3873","0.703","1.111","2.00",1,0,3,6,44,"6","4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"SL","2019-04-20","84.7","-2.7323","5.5501","Wrigley Field",444482,506433,"home_run","hit_into_play_score",,,,,14,"David Peralta homers (3) on a line drive to right field.  ","R","L","R","CHC","ARI","X","null","line_drive",0,2,2019,"1.7345","0.3673","0.6487","1.4644","null","null","null",1,1,"Top","215.70","56.26",,,575929,,"190420_182514","4.4673","-123.1737","-3.8627","16.3450","24.3103","-28.0136","3.5000","1.6500","396","111.3","20","83.6690","2870","5.6290",565131,506433,575929,519203,518614,592178,595879,656941,518792,450314,"54.8702","0.918","1.550","2.00",1,0,3,6,3,"3","Slider",0,1,1,0,1,0,1,0,"Standard","Standard"
"FF","2019-04-20","92.7","-2.5996","5.5345","Wrigley Field",500871,506433,"home_run","hit_into_play_score",,,,,2,"Eduardo Escobar homers (2) on a fly ball to right field.  ","R","L","R","CHC","ARI","X","null","fly_ball",2,0,2019,"-0.2653","1.4132","-0.1367","2.8342","null","null","null",1,1,"Top","214.42","61.11",,,575929,,"190420_182352","6.8761","-134.9409","-4.2386","-4.6209","26.7474","-14.1802","3.2400","1.5100","385","104.1","33","93.1060","2495","6.3110",565131,506433,575929,519203,518614,592178,595879,656941,518792,450314,"54.1883","0.724","1.448","2.00",1,0,3,6,2,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2019-04-12","77.4","-2.3934","4.8533","Wrigley Field",575929,598287,"home_run","hit_into_play_score",,,,,4,"Willson Contreras homers (5) on a fly ball to left field.  ","R","R","R","CHC","LAA","X","null","fly_ball",0,0,2019,"1.0255","-0.3742","-0.6888","2.5366","null","null","null",0,6,"Bot","null","null",,,518960,,"190412_200138","1.7997","-112.3926","2.6475","8.0220","21.2882","-36.0063","3.4110","1.5650","443","108.6","29","75.7820","2615","5.3300",565127,598287,518960,405395,446359,621493,592743,664058,488721,594777,"55.1694","0.979","1.970","2.00",1,0,3,6,45,"1","Curveball",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"FF","2019-04-12","90.1","1.3307","6.8016","Wrigley Field",623520,572140,"home_run","hit_into_play_score",,,,,4,"David Bote homers (1) on a fly ball to left center field.  ","R","R","L","CHC","LAA","X","null","fly_ball",1,1,2019,"-0.1597","1.5147","-0.3815","2.3839","null","null","null",1,4,"Bot","71.50","30.69",,,518960,,"190412_192538","-3.9074","-130.9919","-8.1673","-0.9732","28.6137","-13.2955","3.4110","1.5650","417","96.9","31","89.8120","2116","6.2390",565127,572140,518960,405395,446359,621493,592743,664058,488721,594777,"54.2603","0.300","0.520","2.00",1,0,3,5,30,"3","4-Seam Fastball",3,1,3,1,1,3,3,1,"Standard","Standard"
"FC","2019-04-12","86.9","2.9035","6.0801","Wrigley Field",405395,430935,"home_run","hit_into_play_score",,,,,13,"Albert Pujols homers (2) on a fly ball to left field.  ","R","R","L","CHC","LAA","X","null","fly_ball",1,2,2019,"-0.1693","0.7054","-0.6243","1.0678","null","null","null",0,4,"Top","21.02","50.76",,,575929,,"190412_191354","-8.1054","-126.2378","-7.2812","-0.2581","24.3129","-23.3904","3.4900","1.6010","426","105.7","25","87.1080","1923","6.3940",565127,430935,575929,519203,623520,592178,595879,656941,546991,657145,"54.1056","0.953","1.856","2.00",1,0,3,6,25,"4","Cutter",3,0,0,3,0,3,0,3,"Strategic","Standard"
"CU","2019-04-12","78.0","1.6911","6.6077","Wrigley Field",575929,572140,"home_run","hit_into_play_score",,,,,7,"Willson Contreras homers (4) on a fly ball to left field.  ","R","R","L","CHC","LAA","X","null","fly_ball",3,2,2019,"-0.9753","-1.4206","-0.7565","1.6774","null","null","null",2,1,"Bot","null","null",,,518960,,"190412_183512","-3.4626","-113.2894","-1.0129","-7.2805","24.6850","-43.9663","3.4110","1.5650","460","109.4","28","76.1350","2683","5.4830",565127,572140,518960,405395,446359,621493,592743,664058,488721,594777,"55.0162","0.974","1.978","2.00",1,0,3,6,8,"7","Curveball",2,0,2,0,0,2,2,0,"Standard","Standard"
"FF","2019-04-12","90.0","1.3046","6.9127","Wrigley Field",519203,572140,"home_run","hit_into_play_score",,,,,6,"Anthony Rizzo homers (3) on a fly ball to right center field.    Kris Bryant scores.  ","R","L","L","CHC","LAA","X","null","fly_ball",0,0,2019,"0.2089","1.5907","0.3678","2.7191","null","null",592178,1,1,"Bot","214.19","17.73",,,518960,,"190412_182902","-2.7652","-130.8702","-7.7423","3.0137","29.9870","-12.5116","3.4900","1.6010","472","111.2","30","89.6360","2176","6.2990",565127,572140,518960,405395,446359,621493,592743,664058,488721,594777,"54.2001","0.982","1.998","2.00",1,0,3,6,6,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2019-04-10","79.0","-1.3508","6.1168","Wrigley Field",518792,543475,"home_run","hit_into_play_score",,,,,5,"Jason Heyward homers (4) on a fly ball to center field.  ","R","L","R","CHC","PIT","X","null","fly_ball",0,1,2019,"0.4201","-1.1047","0.1823","2.6852","null","null","null",1,5,"Bot","112.19","30.30",,,465041,,"190411_012527","2.5533","-115.0731","1.2498","3.2591","19.3681","-42.3041","3.5750","1.6810","400","105.1","26","78.7100","2477","5.8230",565125,543475,465041,605137,624428,592567,570481,641829,516782,466320,"54.6768","0.929","1.823","2.00",1,0,3,6,34,"2","Curveball",0,3,0,3,3,0,0,3,"Standard","Standard"
"FF","2019-04-10","93.4","-2.3305","5.2549","Wrigley Field",516782,506433,"home_run","hit_into_play_score",,,,,7,"Starling Marte homers (1) on a fly ball to left field.   Jordan Lyles scores.  ","R","R","R","CHC","PIT","X","null","fly_ball",0,0,2019,"-0.3155","1.3133","-0.4065","2.0255","null","null",543475,2,3,"Top","17.49","71.71",,,575929,,"190411_004656","5.7115","-136.0422","-5.6348","-5.0771","25.2303","-14.5690","3.4110","1.5650","392","105.7","33","94.8690","2319","6.7480",565125,506433,575929,519203,518614,592178,595879,656941,546991,518792,"53.7519","0.850","1.690","2.00",1,0,3,6,17,"1","4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard"
"FF","2019-04-10","93.9","-2.2824","5.3474","Wrigley Field",465041,506433,"home_run","hit_into_play_score",,,,,5,"Francisco Cervelli homers (1) on a line drive to left center field.  ","R","R","R","CHC","PIT","X","null","line_drive",0,1,2019,"-0.1959","1.3671","-0.1551","2.4609","null","null","null",2,1,"Top","76.88","48.77",,,575929,,"190411_001134","5.9916","-136.6877","-4.9017","-3.6934","27.1627","-13.9137","3.4110","1.5650","373","99.7","22","94.9970","2242","6.6880",565125,506433,575929,519203,518614,592178,595879,656941,546991,518792,"53.8120","0.568","0.774","2.00",1,0,3,5,3,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-04-08","92.9","3.2926","5.3697","Wrigley Field",656941,643230,"home_run","hit_into_play_score",,,,,5,"Kyle Schwarber homers (3) on a fly ball to left center field.   Javier Baez scores.  ","R","L","L","CHC","PIT","X","null","fly_ball",1,0,2019,"0.5807","1.0291","-0.0515","2.4111","null","null",595879,0,4,"Bot","53.41","39.83",,,465041,,"190408_200339","-9.9280","-135.0846","-4.1657","9.1607","25.6591","-18.6597","3.0877","1.5350","412","109.6","23","94.0870","2204","6.7400",565124,643230,465041,605137,624428,628356,621028,622569,516782,466320,"53.7592","0.982","1.904","2.00",1,0,3,6,40,"2","4-Seam Fastball",8,0,8,0,0,8,8,0,"Standard","Standard"
